checkpoint,data,success_rate,reformat_type,num_options
/DATA4/abhinav/tofu/paper_models/final_ft_noLORA_5_epochs_inst_lr2e-05_phi_full/checkpoint-625,./data_reformat/comprehension/forget05_prompts_new.json,0.845,comprehension-mcqa,4
/DATA4/abhinav/tofu/paper_models/final_ft_noLORA_5_epochs_inst_lr2e-05_phi_full/checkpoint-625/grad_ascent_1e-05_forget05_5/checkpoint-6,./data_reformat/comprehension/forget05_prompts_new.json,0.85,comprehension-mcqa,4
/DATA4/abhinav/tofu/paper_models/final_ft_noLORA_5_epochs_inst_lr2e-05_phi_full/checkpoint-625/grad_ascent_1e-05_forget05_5/checkpoint-12,./data_reformat/comprehension/forget05_prompts_new.json,0.845,comprehension-mcqa,4
/DATA4/abhinav/tofu/paper_models/final_ft_noLORA_5_epochs_inst_lr2e-05_phi_full/checkpoint-625/grad_ascent_1e-05_forget05_5/checkpoint-18,./data_reformat/comprehension/forget05_prompts_new.json,0.85,comprehension-mcqa,4
/DATA4/abhinav/tofu/paper_models/final_ft_noLORA_5_epochs_inst_lr2e-05_phi_full/checkpoint-625/grad_ascent_1e-05_forget05_5/checkpoint-24,./data_reformat/comprehension/forget05_prompts_new.json,0.82,comprehension-mcqa,4
/DATA4/abhinav/tofu/paper_models/final_ft_noLORA_5_epochs_inst_lr2e-05_phi_full/checkpoint-625/grad_ascent_1e-05_forget05_5/checkpoint-30,./data_reformat/comprehension/forget05_prompts_new.json,0.825,comprehension-mcqa,4
/DATA4/abhinav/tofu/paper_models/final_ft_noLORA_5_epochs_inst_lr2e-05_phi_full/checkpoint-625/grad_diff_1e-05_forget05_5/checkpoint-6,./data_reformat/comprehension/forget05_prompts_new.json,0.855,comprehension-mcqa,4
/DATA4/abhinav/tofu/paper_models/final_ft_noLORA_5_epochs_inst_lr2e-05_phi_full/checkpoint-625/grad_diff_1e-05_forget05_5/checkpoint-12,./data_reformat/comprehension/forget05_prompts_new.json,0.85,comprehension-mcqa,4
/DATA4/abhinav/tofu/paper_models/final_ft_noLORA_5_epochs_inst_lr2e-05_phi_full/checkpoint-625/grad_diff_1e-05_forget05_5/checkpoint-18,./data_reformat/comprehension/forget05_prompts_new.json,0.83,comprehension-mcqa,4
/DATA4/abhinav/tofu/paper_models/final_ft_noLORA_5_epochs_inst_lr2e-05_phi_full/checkpoint-625/grad_diff_1e-05_forget05_5/checkpoint-24,./data_reformat/comprehension/forget05_prompts_new.json,0.83,comprehension-mcqa,4
